City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,San Juan,-31.5375,-68.5364,83.73,23,0,19.28,AR,2021-09-26 16:21:47
162,Tupik,54.4253,119.9327,49.06,99,100,0.54,RU,2021-09-26 16:21:47
163,Henties Bay,-22.116,14.2845,60.3,77,8,7.05,NA,2021-09-26 16:21:48
164,Saint Anthony,45.0205,-93.218,68.09,64,1,4.0,US,2021-09-26 16:21:48
165,Saint-Georges,12.0564,-61.7485,80.28,83,75,0.0,GD,2021-09-26 16:18:23
166,Stornoway,58.2093,-6.3865,53.56,94,75,3.44,GB,2021-09-26 16:21:49
167,Srednekolymsk,67.45,153.6833,33.19,97,100,18.92,RU,2021-09-26 16:21:49
168,Vila Velha,-20.3297,-40.2925,80.55,63,0,17.27,BR,2021-09-26 16:21:44
169,Evensk,61.95,159.2333,38.5,89,71,11.63,RU,2021-09-26 16:21:50
170,Eydhafushi,5.1033,73.0708,78.96,84,100,18.68,MV,2021-09-26 16:21:50
171,Strezhevoy,60.7333,77.5889,37.38,73,100,7.49,RU,2021-09-26 16:21:50
172,Temiscaming,46.7212,-79.0971,60.67,76,38,2.3,CA,2021-09-26 16:21:50
173,Aklavik,68.2191,-135.0107,29.23,80,75,5.75,CA,2021-09-26 16:21:51
174,Pontal Do Parana,-25.6533,-48.5128,91.2,70,14,7.47,BR,2021-09-26 16:21:51
175,Toktogul,41.8708,72.9402,71.96,23,0,1.57,KG,2021-09-26 16:21:52
176,Norman Wells,65.282,-126.8329,32.04,86,75,8.05,CA,2021-09-26 16:21:52
177,Gat,31.61,34.7642,86.4,21,58,12.21,IL,2021-09-26 16:21:52
178,College,64.8569,-147.8028,31.95,92,75,0.0,US,2021-09-26 16:20:09
179,Lasa,46.6166,10.7002,65.03,95,100,3.96,IT,2021-09-26 16:21:52
180,Bukachacha,52.9833,116.9167,38.62,86,50,5.82,RU,2021-09-26 16:21:53
181,Tokur,53.1333,132.9,42.49,93,98,3.62,RU,2021-09-26 16:21:53
182,Rio Verde De Mato Grosso,-18.9181,-54.8442,103.68,15,0,6.6,BR,2021-09-26 16:21:54
183,Turinsk,58.0458,63.696,39.27,56,98,11.3,RU,2021-09-26 16:21:54
184,Ambon,-3.6954,128.1814,75.34,94,40,6.91,ID,2021-09-26 16:21:54
185,Luanda,-8.8368,13.2343,77.0,78,0,10.36,AO,2021-09-26 16:21:54
186,Hobyo,5.3505,48.5268,78.96,82,70,25.72,SO,2021-09-26 16:21:55
187,Taltal,-25.4,-70.4833,65.89,62,26,6.49,CL,2021-09-26 16:21:55
188,Marawi,7.9986,124.2928,66.65,90,100,3.74,PH,2021-09-26 16:21:56
189,Paamiut,61.994,-49.6678,35.4,48,7,3.51,GL,2021-09-26 16:21:56
190,Thompson,55.7435,-97.8558,51.96,76,40,4.61,CA,2021-09-26 16:21:56
191,Bambous Virieux,-20.3428,57.7575,71.85,88,75,19.57,MU,2021-09-26 16:21:57
192,Aswan,24.0934,32.907,93.79,15,63,11.7,EG,2021-09-26 16:21:57
193,Hluti,-27.2167,31.6167,73.49,59,4,9.13,SZ,2021-09-26 16:21:58
194,Asau,46.4333,26.4,67.39,80,2,1.23,RO,2021-09-26 16:21:58
195,Severo-Kurilsk,50.6789,156.125,47.77,93,78,10.96,RU,2021-09-26 16:21:59
196,Urumqi,43.801,87.6005,52.75,35,0,6.71,CN,2021-09-26 16:22:00
197,Anloga,5.7947,0.8973,82.62,72,72,10.69,GH,2021-09-26 16:22:00
198,Mount Isa,-20.7333,139.5,74.97,14,0,11.5,AU,2021-09-26 16:22:00
199,Fuxin,42.0156,121.6589,64.15,90,100,7.99,CN,2021-09-26 16:22:01
200,Ulladulla,-35.35,150.4667,49.87,72,94,4.5,AU,2021-09-26 16:22:01
201,Namatanai,-3.6667,152.4333,79.36,81,96,4.09,PG,2021-09-26 16:22:02
202,Touros,-5.1989,-35.4608,83.3,62,6,20.07,BR,2021-09-26 16:22:02
203,Dunedin,-45.8742,170.5036,35.8,83,23,5.39,NZ,2021-09-26 16:22:03
204,Nikolskoye,59.7035,30.7861,51.87,91,29,5.59,RU,2021-09-26 16:22:03
205,Kaitangata,-46.2817,169.8464,33.76,91,20,4.92,NZ,2021-09-26 16:22:04
206,Hofn,64.2539,-15.2082,44.62,76,90,8.05,IS,2021-09-26 16:22:04
207,Necochea,-38.5473,-58.7368,56.03,67,13,19.19,AR,2021-09-26 16:22:05
208,Griffith,41.5284,-87.4237,75.34,42,1,1.99,US,2021-09-26 16:22:05
209,Egvekinot,66.3167,-179.1667,19.72,80,23,5.86,RU,2021-09-26 16:22:05
210,Gemena,3.25,19.7667,77.77,81,89,1.45,CD,2021-09-26 16:22:06
211,Balakhninskiy,58.0106,114.2769,38.17,100,100,3.18,RU,2021-09-26 16:22:06
212,Carnarvon,-24.8667,113.6333,64.47,68,40,9.22,AU,2021-09-26 16:22:06
213,Olds,51.7834,-114.102,65.91,55,100,12.66,CA,2021-09-26 16:22:07
214,Nerang,-27.9833,153.3333,61.12,93,99,4.0,AU,2021-09-26 16:22:07
215,Puno,-15.8333,-70.0333,60.37,46,43,9.51,PE,2021-09-26 16:22:08
216,Rincon,32.296,-81.2354,81.91,54,1,5.75,US,2021-09-26 16:22:08
217,Dubreka,9.7911,-13.5233,80.67,79,100,7.96,GN,2021-09-26 16:22:09
218,Saskylakh,71.9167,114.0833,33.85,98,100,10.51,RU,2021-09-26 16:22:09
219,Flinders,-34.5833,150.8552,52.18,84,91,3.0,AU,2021-09-26 16:22:10
220,Katsuura,35.1333,140.3,67.1,70,59,10.56,JP,2021-09-26 16:22:11
221,Tchibanga,-2.85,11.0333,79.05,70,100,5.64,GA,2021-09-26 16:22:11
222,Moose Factory,51.2585,-80.6094,53.6,76,90,9.22,CA,2021-09-26 16:22:12
223,Kashan,33.9831,51.4364,79.84,20,0,6.04,IR,2021-09-26 16:22:12
224,Kahului,20.8947,-156.47,78.84,87,40,11.5,US,2021-09-26 16:22:12
225,San Patricio,28.017,-97.5169,84.07,49,5,5.53,US,2021-09-26 16:22:13
226,Guerrero Negro,27.9769,-114.0611,71.91,68,1,13.67,MX,2021-09-26 16:22:13
227,Nouadhibou,20.931,-17.0347,73.33,79,18,21.16,MR,2021-09-26 16:22:13
228,Camp Verde,34.5636,-111.8543,67.48,90,100,1.01,US,2021-09-26 16:21:43
229,Vysotsk,60.6288,28.5705,49.84,75,16,7.34,RU,2021-09-26 16:22:14
230,Mehamn,71.0357,27.8492,48.38,77,100,12.68,NO,2021-09-26 16:22:14
231,Xichang,27.8964,102.2634,64.67,90,95,1.16,CN,2021-09-26 16:22:14
232,Yabelo,4.8833,38.0833,66.83,56,98,2.19,ET,2021-09-26 16:22:16
233,San Carlos De Bariloche,-41.1456,-71.3082,42.55,36,40,12.66,AR,2021-09-26 16:22:17
