,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Dali,CN,59.65,overcast clouds,25.7,100.1833,
356,Touros,BR,85.1,clear sky,-5.1989,-35.4608,
357,Ossora,RU,41.45,overcast clouds,59.2353,163.0719,
358,Atlantic City,US,75.18,clear sky,39.3643,-74.4229,
359,Turayf,SA,79.02,clear sky,31.6725,38.6637,
360,Kruisfontein,ZA,62.89,broken clouds,-34.0033,24.7314,
361,Ucluelet,CA,57.04,overcast clouds,48.9329,-125.5528,
362,Erenhot,CN,55.09,clear sky,43.6475,111.9767,
363,Garowe,SO,86.59,light rain,8.4054,48.4845,
364,Arrecife,ES,78.78,few clouds,28.963,-13.5477,
365,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,
366,Mujiayingzi,CN,59.63,light rain,42.1167,118.7833,
367,Trincomalee,LK,80.85,moderate rain,8.5711,81.2335,
368,Namibe,AO,64.24,broken clouds,-15.1961,12.1522,
369,Leticia,CO,84.18,broken clouds,-4.2153,-69.9406,
370,Voh,NC,65.25,broken clouds,-20.9667,164.7,
371,Jalu,LY,79.11,clear sky,29.0331,21.5482,
373,Bograd,RU,35.35,overcast clouds,54.2344,90.8328,
374,Harnosand,SE,51.01,scattered clouds,62.6323,17.9379,
375,Denpasar,ID,78.46,few clouds,-8.65,115.2167,
376,Pangoa,PE,92.61,overcast clouds,-12.1167,-73.0,
377,Rio Gallegos,AR,48.25,scattered clouds,-51.6226,-69.2181,
379,Fereydunshahr,IR,54.68,clear sky,32.941,50.121,
380,Port Augusta,AU,44.74,broken clouds,-32.5,137.7667,
381,Thai Nguyen,VN,74.98,scattered clouds,21.5928,105.8442,
382,Krasnogorsk,RU,50.05,overcast clouds,55.8225,37.3181,
383,Santa Catalina,PH,78.67,broken clouds,9.3337,122.8637,
384,Paamiut,GL,35.98,clear sky,61.994,-49.6678,
385,Turukhansk,RU,34.56,few clouds,65.8167,87.9833,
386,Kiama,AU,53.38,overcast clouds,-34.6833,150.8667,
387,Russellville,US,85.73,clear sky,35.2784,-93.1338,
388,Sivaki,RU,55.31,light rain,52.6333,126.75,
389,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,
390,West Wendover,US,72.61,clear sky,40.7391,-114.0733,
391,Torres,BR,80.83,clear sky,-29.3353,-49.7269,
392,Finschhafen,PG,78.6,scattered clouds,-6.6024,147.8681,
393,Puerto Narino,CO,94.93,few clouds,-3.7703,-70.3831,
394,Sokol,RU,44.49,overcast clouds,59.4617,40.1206,
395,Bonney Lake,US,63.05,overcast clouds,47.1771,-122.1865,
396,Belawan,ID,77.29,moderate rain,3.7755,98.6832,
397,Bellmead,US,87.28,clear sky,31.594,-97.1089,
398,Koumra,TD,75.09,light rain,8.9126,17.5539,
399,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,
400,Camabatela,AO,69.39,overcast clouds,-8.1881,15.375,
401,Broome,US,68.02,clear sky,42.2506,-75.833,
402,Archidona,ES,82.22,overcast clouds,37.0965,-4.3887,
403,Amga,RU,30.9,broken clouds,60.8953,131.9608,
404,Kautokeino,NO,42.03,overcast clouds,69.0125,23.0412,
405,Bagaces,CR,85.93,broken clouds,10.5271,-85.2548,
406,Paoua,CF,71.78,light rain,7.2427,16.4406,
407,Umm Lajj,SA,85.26,clear sky,25.0213,37.2685,
408,Bagdarin,RU,32.38,overcast clouds,54.4333,113.6,
409,Leningradskiy,RU,20.73,overcast clouds,69.3833,178.4167,
410,Pamanukan,ID,80.26,scattered clouds,-6.2842,107.8106,
411,Grand-Lahou,CI,74.5,light rain,5.1367,-5.0242,
412,Fairbanks,US,31.6,overcast clouds,64.8378,-147.7164,
413,Davila,PH,81.82,clear sky,18.4726,120.5763,
414,Souillac,MU,69.37,light rain,-20.5167,57.5167,
415,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,
416,Elat,IL,91.24,clear sky,29.5581,34.9482,
417,Razdolnoye,RU,61.21,broken clouds,43.55,131.9167,
418,Nevel,RU,44.74,scattered clouds,56.0209,29.9284,
419,La Tuque,CA,62.22,broken clouds,47.4334,-72.7824,
420,Along,IN,71.96,scattered clouds,28.1667,94.7667,
